  GIMNAZJUM          MARYNARZ         FALBANKA         EDUKACJA
    dóraN               ćyzcąŁ              ćazdązropS           eineinślO
    tzsaM                lateM             ynawikuzsoP             ksalB
   arednaB            ytnemukoD              kedaiwŚ              ołtaiwŚ

    AGALF            ZCAWYZSZ               SIPOSYR            AJCANIMULI


   PIŻAMA          ROK AKADEMICKI        FATAMORGANA           MYDELNICZKA

     Łóżko               Żak                  Woda               Pojemnik
      Sen              Uczelnia             Karawana              Łazienka
     Strój             365 Dni              Pustynia             Umywalka
    Ubranie             Studia              Złudzenie               Ręce
      Noc              Semestr                Oaza                 Mydło


    ćeizdeiS         ajcazilauziW             awołG                 nvT
    ćadąlgO            einezraM               ołdyM             wohS ytilaeR
   ainwodiW             enonaD                ysołW              ćadąlgdoP
     rtaeT              aksńałU                ćyM                sazcluG
    iksalkO          eineżarboyW              ćapąK               aremaK

ĆŚONZCILBUP           AJZATNAF              NOPMAZS            REHTORB GIB


     POT             BANKOMAT              ABDYKACJA             PARKIET

    Pachy               Karta                 Przestać           Drewno
    Mokry               Bank                 Zrzec Się           Tańczyć
Antyprespirant           Pin                  Władza            Cyklinować
 Dezodorant           Pieniądze                 Król              Giełda
     Upał             Wybierać         Ustąpić Ze Stanowiska     Podłoga


    łóicśoK            mejanyW               ćamyzrT              oksjoW
   źdeiwopS            awarpU               einakzseiM            eikosyW
    yhcezrG              ćicałP              yrobyzrP           ywojoB hcuD
 einezsezrgzoR          aimeiZ                ikderK             anilpycsyD
     atukoP             akłaizD               ałokzS               ćadapS

ŁANOJSEFNOK          AWAŻREIZD              KINRÓIP              ELAROM
     FILIŻANKA                   MELISA              MANEKIN             LECZO

      Porcelana                    Pić                Figura             Potrawa
        Kawa                      Liście              Sklep               Węgry
         Pić                    Zaparzyć             Wystawa             Cukinia
       Kubek                    Uspokajać             Plastik            Warzywa
       Spodek                    Nerwy               Ubranie             Papryka


         moD                       seiP                 mliF           ynrazc-ołaiB
        anłeP                     ydołM             awodoL aróG          odzainG
      anowrezC                     yłaM              afortsataK            abaŻ
      akwaruizD                     toK               apulazS              katP
       ćalapyW                    akuS                 ćąnoT              nimoK

        AŁGEC                  KAINEZCZS             CINATIT             NAICOB


      KOPERTA                    KOMPAS          OGÓREK MAŁOSOLNY       CZUJNIK

       Znaczek                    Azymut              Zielony            Zmiana
         List                     Magnes              Kiszony           Reagować
       Łapówka                    Biegun            Konserwowy           Mierzyć
       Wysyłać                 Strony Świata         Warzywo            Sprawdzać
        Adres                      Busola             Zakąska          Kontrolować


        minonA                     seiP             arutknuinoK          ćaworeiK
     einezsumyW                 kainezczS           eineceiwśO             ńoK
         pukO                     iktaŁ                serkO             acinźoW
     ajcalupinaM                  akjaB               jówzoR            ćizdaworP
      acinmejaT                  alleurC               taiwK              żązrpU

      ŻATNAZS               WÓKYZCŃYTAMLAD 101       TIWKZOR              ECJEL


 STEFAN BATORY                    SZLAK              POŚCIEL            MAZURY

      Król Polski                 Góry                Kołdra             Mamry
     Siedmiogród                  Mapa                Łóżko            Pod Namiot
        Statek                  Turystyka              Spać             Warmia I
       Xvi Wiek                 Wycieczka          Prześcieradło         Jeziora
         Bona                   Wytyczać              Ścielić             Jacht


   taiwŚ ynlautriW                  luiT               atęiwŚ             rpeinD
         akdnaR                   zsinraK             akniohC             ycazoK
        tenretnI                   onkO           einezdoraN eżoB        eżoropaZ
      ćiawamzoR                  ćainałsaZ              łótS              namatA
          ćakilK                  ćazseiW             anizdoR        mezceiM I meingO

        TAHC                    AKNARIF              AILIGIW              ZCIS


        KLASY                  KSIĘGARNIA          AGENT TOMEK         FORMUŁA 1

       Skakanie                 Podręcznik        Marczuk - Pazura        Bolid
        Szkoła                     Regał               Afera             Wyścigi
        Kreda                    Kupować             Telewizja          Samochód
         Gra                       Sklep               Szpieg            Kubica
        Dzieci                    Ksiązka              Kasia               Tor


      acńoK zeB                    knirD              cawyzW               cułT
      ćimohcurU                   lohoklA              ketatS         atsyzcorzezrP
        akyziF                      muR               kenutaR             onkO
iigrenE ainawohcaZ adasaZ           ćiP            asroM tebaflA          ćibyW
        ćałaizD                    sokoK               comoP              ołkzS

ELIBOM MUUTEPREP                 UBILAM                S.O.S             ABYZS
      ZEBRA             KONCERT             AUTOMAT          MIKROSKOP

      Czarny             Scena                Pralka            Okular
      Afryka             Występ               Robot            Oglądać
        Koń             Widownia            Mechanizm          Preparat
       Paski            Gwiazda              Karabin           Biologia
       Biały             Życzeń                Gra           Powiększenie


        yzcO           ainhczreiwoP           acdałW            eicąrP
      ćeizdiW            arutskeT              myzR              apaK
       korzW              nogaraP            %01 owiP        aksąlŚ arawG
      yralukO               taV                razeC             sineP
     ikwezcoS            kenuhcaR         ynjoW endzeiwG        roisiS

EWOTKATNOK AŁKZS        ARUTKAF            ROTAREPMI            KOLUP


     WITRAŻ         WNIOSEK URLOPOWY         LEKTOR          SOLNICZKA

    Kolorowy             Wypisać               Film            Przyprawa
      Okno               Wczasy               Mówić            Wieliczka
      Szyba              Wakacje              Czytać             Słone
    Wizerunek             Druk             Pismo Święte          Cukier
     Kościół              Praca            Tłumaczenie           Pieprz


    adołM araP            ezculK               igułD            ezreiwZ
      łóicśoK              seiP               sedeS              akpaŁ
    tnemarkaS           leicicśałW             akloR              reS
     ikzcąrbO           ćizdaworP            ćareicyW          retupmoK
      ynliwyC             recapS             akneizaŁ            anloP

       BULŚ              ZCYMS          YWOTELAOT REIPAP         ZSYM


    SUTANNA           STUDNIÓWKA             BARŁÓG            KLAMKA

      Ubranie            Zabawa               Wyrko            Pocałować
     Koloratka            Matura           Nieporządek          Zapadać
      Ksiądz             Egzamin              Spać                Drzwi
       Strój          Szkoła Średnia         Posłanie           Zamykać
      Czarny               Bal                Łóżko         Szpital Wariatów


      cąiseiM        ytoimdezrP eratS        awyzraW              eloP
       amiZ               ikżąisK        ewocowO akwezrD           jiK
       geinŚ             ćawopuK         ywoksinteL kemoD        kełoD
      intatsO            enawyżU             ćaiwarpU            akłiP
      atęiwŚ               pelkS              aknatlA            tropS

    ŃEIZDURG         TAIRAWKYTNA        EWOKŁAIZD IKÓRGO      ATSIFLOG


    FAŁSZERZ             SUPEŁ             STEREOTYP           DYWAN

     Pieniądze          Gordyjski          Szufladkować        Latający
       Osoba            Rozplątać             Przesąd          Odkurzać
       Kopia             Wiązać            Wyobrażenie         Podłoga
     Podrabiać            Węzeł                Kalka            Alladyn
     Falsyfikat        Sznurowadła          Przekonanie         Perski


     dóhcomaS              naF              anateimŚ          indeiwopdO
  ęiS ćawymyzrtaZ       ćawocibiK           ainreikuC          ywicśałW
        otuA             tanojsaP            oktsaiC          ynawikezcO
     ynmeizdoP          kinnelowZ            wókarK              yndogZ
      ćawokraP           ćareipoP           eciwodaW            ycąjusaP

    GNIKRAP           ATSAJZUTNE           AKWÓMERK         YNTAWKEDAEIN
    PIERNIKI           KAPIBARA                 KITEL             SŁUCHAWKA

      Toruń               Świnia                 Szpital            Dzwonić
    Baba Jaga              Ssak               Pielęgniarka          Prysznic
     Ciastka             Cejrowski               Lekarz             Telefon
    Nadzienie           Największy              Fartuch            Rozmawiać
      Miód                Gryzoń                  Biały               Ucho


      źdówoP              yrutkeL              ezdąineiP           ćawihcułsO
       akezR          einawocarpyW              moizoP               zrakeL
       syrgyT            aigololiF               igobU               ćadaB
   aimatopozeM          leicyzcuaN           awoicyŻ apotS            ajyzS
   ćśontyżoratS       kyzęJ ytsyzcjO             adeiB               rotkoD

     TARFUE            ATSINOLOP           AJCAZYREPUAP           POKSOTETS


      ODRA               AKCENT                WIDELEC             TWARÓG

     Granica             Sylaba                 Sztućce             Śmietana
    Choroba               Język                   Jeść              Ser Biały
      Rzeka               Obcy                   Zupa                  Sól
    Wrocław              Mówić                    Nóż                Krowa
   Szczepienie        Przedostatnia              Łyżka             Szczypiorek


    ikzcyżoN             bązjórT                  ożuD             ćaiwamzoR
    ćawobraF              eibarG              tekramrepiH            snamoR
       ćąiC             eizdęzraN               ćawopuK             ćizdowU
      ysołW                śeiW                   oinaT              wyrdoP
    akmesaP               kinloR                 ypukaZ               ytraK

IKSREJZYRF NOLAS         YŁDIW                  OCSET                TRILF


 MIŚ KORALGOL          SPÓJNOŚĆ               PROMIEŃ            PRZEDŁUŻACZ

   Niedźwiedź           Zgodność                Laser             Rozgałęziacz
   Wieczorynka            Ściśle                Słońce             Gniazdko
      Dzieci          Kompatybilność            Okrąg                Kabel
   Dobranocka            Pasować                 Koło               Przewód
     Uszatek             Poglądy               Średnica               Prąd


       celaP                góB            wóidutS kenureiK          ynrazC
      ćapelK                jaR           anzcydeM aimedakA         sumyzrP
       akęR                ołkeiP             awtsrakeL             ćśonloW
     ćakytoD             rtoiP .wŚ              aketpA               akyrfA
     ćaksicŚ              yrumhC                aimehC                acarP

     ĆACAM               OBEIN                AJCAMRAF           OWTCINLOWEIN


      LOGO           SZPACHLOWAĆ          MAZUREK DĄBROWSKIEGO    KOMPLEKSY

     Grafika             Ubytki                 Legiony            Akceptacja
     Marka               Remont                  Piesń              Problem
      Firma             Wyrównać             Józef Wybicki          Posiadac
    Emblemat             Ściana                 Jeszcze             Kobieta
      Znak              Nakładać                 Hymn                Wady


    ainrazcęM              ćyM                  kenoiP               ćatoiM
        lóB              eisołW                ybacraW              ćagelbO
     ćareimU            ćaworozS                aktsoK               kemaZ
       natS               atsU                 kyzcńihC            mzinahceM
       eicyŻ              atsaP                loponoM              anyzsaM

    AINOGA         WÓBĘZ OD AKZCETOZCZS   AWOZSNALP ARG           ATLUPATAK
       NOBEL                 WALIZKA           CZOSNEK           ABAŻUR

Maria Skłodowska-curie         Bagaż            Aromat           Żarówka
       Dostać                 Pakować            Ząbek           Ozdoba
      Wybuch                 Dokumenty          Warzywo           Osłona
      Nagroda                  Podróż           Wampir             Sufit
      Dynamit                 Ubrania             Sos              Klosz


         saP               tnematseT yratS        eclaP            katP
       eicęicW                  ćatyzC         eickonzaP          kenaR
       ardoiB                etęiwŚ omsiP       ynopzS           ynsodaR
        ytraK                   łóicśoK            yłK           odzainG
         asO                      góB            ćaparD          ćaweipŚ

       AILAT                  AILBIB            YRUZAP        KENORWOKS


 ROZKŁAD JAZDY              ZAKOPANE          EUROWIZJA         GOŹDZIK

       Pociąg                  Górale         Edyta Górniak      Komuna
      Godzina                Gubałówka          Festiwal          Kwiat
      Przyjazd                Krupówki          Piosenka           PRL
       Odjazd                  Oscypki           Europa         Czerwony
      Autobus                   Tatry           Konkurs        Dzień Kobiet


       tropS                   ńeimaK           tnemukoD           ajyzS
       ardaK                    ałakS             eicęjdZ          ćisoN
      renerT                   kinmoP           acinargaZ         atsuhC
    renojckeleS               keborgaN            żórdoP          elzdęrF
       akuaN                    atyłP          ćazcarkezrP          lazS

 CEIWOINELOKZS                TINARG           TROPZSAP         AKTAFARA


       MECH                POLITECHNIKA      PAŁAC KULTURY       PACZKA

       Zielony              Uniwersytet         Stolica          Listonosz
       Miękki                 Uczelnia         Warszawa          Wysyłka
      Poszycie                Inżynier         Budynek           Priorytet
         Las                   Szkoła          Rosjanie           Pudełko
      Drzewo                 Studiować          Iglica             Poczta


        hcaD                   ydrawT             aksloP         einyzcaN
       ydohcS                   ćśałK              oraC            iktyłP
      ezróG aN                  agorD             ceinaT         einezdeJ
        ortęiP                 aindzeJ          dóhcomaS          ikobęłG
         moD                   ynrazC          akwóindutS           łótS

      HCYRTS                  TLAFSA           ZENOLOP           ZRELAT


    KOREKTOR             EKSPRESS DO KAWY        KOZA         PANTOFELEK

      Długopis                 Pianka            Trawa            Noga
     Wysychać                 Kuchnia           Zwierzę           Stopa
     Maskować                  Mleko              Rogi         Pierwotniak
        Biały                Urządzenie          Mleko         Kopciuszek
     Do Twarzy               Capuccino            Góra             But


       laróG                   awinŻ             ramoK             gruriH
 okzcepereP keraM            eizdęzraN           ahcuM            latipzS
      kisonaJ                  ćanicŚ            dawO             geibaZ
       owiP                    ćreimŚ             apaP        anjycarepO alaS
      kinjóbZ                  eżobZ              jelK            zrakeL

      ŚANRAH                   ASOK               PEL           AJCAREPO
      NARTY                  TATUAŻ               WETERYNARZ             BAZAR

       Śnieg                 Ciało                   Choroba            Kupować
       Góry                   Igła                     Pies            Sprzedawać
       Zima                  Henna                   Eskulap             Handel
      Jeździć               Marynarz                Zwierzęta             Targ
       Sport                 Ramię                    Lekarz             Rynek


       awaK                   watsaZ                   coN                 adoW
    aktnetsysA                ćicałpS                  ćapS              ćyzrapO
      nofeleT                 tyderK                 eindopS             atabreH
     ćareibdO             ćśomohcureiN               aluzsoK              ycąroG
       oruiB                eineżąicbO                akzulB             kinjazC

  AKRATERKES               AKETOPIH                 AMAŻDIP             KETĄZRW


     ŹRENICA               DŁUGOPIS                ROZKRĘCIĆ             BAGNO

     Wzrok                  Flamaster                Zegarek             Moczary
     Ciemno                   Zeszyt                   Części             Mokro
  Powiększać Się              Wkład                  Imprezę            Podmokły
     Światło                   Pisać                  Interes             Błoto
       Oko                    Pisak                     Koło              Bagno


      agąicŚ                     ćaD                kinworeiK           zówoidaR
    einezcilaZ                kełisoP                 ałokzS               seiP
     rtsemeS                    ćśoG                ynożołezrP             anilG
      aidutS                 ćileizdoP                snawA             kinżęwarK
    muiwkoloK                einezdeJ                  fezS              rudnuM

ANJYCANIMAZGE AJSES      ĆAWOTSĘZCOP               ROTKERYD            TNAJCILOP


      ADAM                   LOBBY                   DIETA              SZPITAL

    Mickiewicz               Wpływać                 Otyłość             Karetka
       Biblia         Pozaparlamentarna Grupa      Odchudzanie           Operacja
        Raj                  Nacisk                 Stosować              Leczyć
     Pierwszy                Kuluary                 Kalorie              Lekarz
        Ewa                 Nakłaniać               Nadwaga            Izba Przyjęć


      kamuR                  kezcoB                  ćawotimI            akwónoeN
      jekożD                 ćyżamS                ćawodalśaN       ujokopeiN ogenaroM
      ćizdźeJ                 alubeC                ćawoidoraP             ottO
        ńoK                    okjaJ                  ćawadU           eiwonaP isratS
      żązrpU                einadainŚ              ćawowreneD           urM urM inA

     OŁDOIS               ACINZCEJAJ             ĆAINŹEZRDEZRP          TERABAK


   MUNDUREK                 KURTYNA                  REGIPS         ŚWIECA ZAPACHOWA

     Ziemniaki                Scena                  Zaprawa             Płomień
      Giertych              Zasłaniać                Remont              Palić Się
       Szkoła                Opadać                  Równać              Aromat
      Żołnierz               Żelazna                  Ściana              Wosk
      Ubranie                 Teatr                    Płyta               Knot


     akturtdO                  natS                   ognaT            acwodałkyW
  ćałaizdwicezrP            ćawuzcdO                   araP             aimedakA
    anycydeM                 hcubyW                  jeinruT              ałokzS
    owtsrakeL               eicśęzczS                ydowaZ              ainlezcU
     anzicurT                ćśodaR                imadzaiwG Z            akuaN

   MUTODITNA                AIROFUE             IKSYZRAWOT CEINAT    TETYSREWINU
LUDOBÓJSTWO            FINLANDIA          STOPER          NOTATNIK

   Zbrodnia              Laponia            Bieg          Informacje
    Masowo                Wódka            Sport          Zapisywać
   Holocaust             Renifery          Czas             Zeszyt
   Mordować             Św. Mikołaj       Zegarek           Kartki
     Wojna             Skandynawia       Odmierzać           Notes


        1              yzsjeinlisjaN       kerageZ          ćakezC
      bulŚ                zcałiS         ynjyzycerP           araK
    awarpzoR             namjaN             hcuR             zakaZ
      aniW               zsuiraM         etabęZ ołoK   ywojeloK dzajezrP
   owtsńeżłaM           namgnortS          anyzsaM         ywomoD

   DÓWZOR            IKSWONAIZDUP       MZINAHCEM         NABALZS


     CECHA           WIESZAĆ PRANIE      PASJANS         WIRTUALNY

Charakterystyczna        Ubranie          Układać           Pamięć
    Opisywać             Klamerki          Karty         Rzeczywisty
    Mantysa               Sznur            Talia            Serwer
   Właściwość             Mokry            Pająk            Realny
    Przymiot              Pralka            Gra            Internet


  ywominonA             ęiS ćacelaZ         akłiP           otsaiC
  eineinźelazU           ęiS ćaratS        oksioB          onwerD
     akdóW                 annaP            tropS           neżoR
      oniW                ydęlgzW          teikraP          akseD
    aborohC           ikwelohC ćilamS      ćacuzR           oktłóZ

  KILOHOKLA         YRUKNOK W ĆAZREDU   AKWÓKYZSOK         ZCAKĘS


     MŁYN               STADION         KIEROWNICA      JAN PAWEŁ II

      Zboże                 Sport         Skręcać           Polak
      Mąka                Trybuny        Sterować         Wadowice
      Woda              Piłka Nożna        Ręka            Watykan
     Kamień                Boisko          Kółko            Papież
       Koło            Lekkoatletyka     Samochód        Karol Wojtyła


     arókS               awoduB           ailartsuA        ćaweipŚ
    rotagilA              aimeiZ           kesaiP           mlasP
     adoW                 akżyŁ             toleiN          zdąisK
     ćśołiM               ćapoK             śurtS        atęiwŚ azsM
   dgaramzS               dzajoP             katP           diwaD

  LYDOKORK              AKRAPOK             UME           ZRETŁASP


    POLSKA                 PIN          TEMPERÓWKA      PIELGRZYMKA

       Kraj                 Kod           Strugać        Częstochowa
      Nasz                Numer           Ołówek            Mekka
      Hymn            Bezpieczeństwo      Ostrzyć             Iść
    Ojczyzna            Bankomat          Piórnik           Religia
 Biało-czerwoni           Telefon         Kredki          Jasna Góra


       róB               azerpmI            ńoK             łanaK
     analoP              oP ńeizD          eigułD          ćadąlgO
      hceM                okżóŁ            ysołW            narkE
     owezrD             icśonduN           ołozC           margorP
      ansoS             ywołG lóB           weL            pokseniK

 YTSALGI SAL               CAK           AWYZRG          ROZIWELET
 MC'DONALDS         AUTOSTOP         WIEDŹMA           MONITOR

      Frytki          Podróż             Kot             Piksel
    Fast Food          Droga           Wróżby             Lcd
 Szybka Obsługa        Kciuk            Baba           Wyświetlać
      Shake          Samochód        Czarownica        Komputer
   Hamburger           Łapać            Stara            Ekran


  akwórażęiC            ćśI             araP             ałakS
    kenudaŁ            rteM            ainźaŁ           oksiwrU
      zcleJ           okbyzS           nesaB              elaF
   ćizowezrP        ęiS ćagicŚ         aksńiF            gezrB
      ołoK         ęiS ćazsuroP        ocąroG            ezroM

      RIT            ĆAGEIB            ANUAS              FILK


   BELFAST           AFRONT             CYRK         ICHTIOLOGIA

   Irlandia            Nietakt          Klaun            Badania
    Stolica          Zniewaga          Sztuczki         Dziedzina
   Północna            Obrazić         Namiot            Wiedza
      Ira          Nieuprzejmość      Zwierzęta           Ryby
    Miasto            Faux Pas          Arena             Nauka


    ynduraM           anzileiB            łazS          eindogZ
  ynozrdywzoR           aktiN            ćśołZ          eicśjyW
   aknaichcaZ         ikdalśoP           akizD           igurD
    okceizD            iktjaM           tairaW        awytanretlA
 ynozczseipzoR       anwoskeS          ćadapW          ynjyrawA

YNOZSYRPAKZOR        IGNIRTS           AIRUF            B NALP


   CZAJNIK           TABELA             AKT          APOKALIPSA

     Woda           Excel, Word       Fotografia   Objawienie Św. Jana
   Gotować        Kolumny I Wersy      Nagość         Koniec Świata
  Elektryczny         Komórki            Sąd            Zagłada
     Wrzeć             Linie          Dokument          Jeźdzcy
    Gwizdek            Dane            Prawny       Nowy Testament


     zakaN          acdówyzrP           lebeM             motA
      doP              zciS              ćapS            ywordąJ
   ćacuzraN          aniarkU            ćeżeL        einaipezczszoR
     ajserP            fezS             adoW            lybonrazC
  ynzrtęnweW          ycazoK          ainlaipyS        ainwortkelE

   SUMYZRP           NAMATA         ENDOW OKŻÓŁ        ROTKAER


 EJAKULACJA       TELEEKSPRES        BRZYDULA         GANGSTER

      Sex             17.00           Przemko             Mafia
     Penis            Pociąg            Viola          Al Capone
    Orgazm             Tvp 1           Moda            Prohibicja
    Sperma             Orłoś            Tvn            Przestępca
    Wytrysk         Wiadomości         Serial           Bandyta


    einarbU       ennizdoR otęiwŚ       ketukS         kintęimaP
     ainkuS           ynizdorU        żaweinoP        ezratnemoK
   einezrowT            otęiwŚ           gąiC           kinneizD
   tnatkejorP          tnezerP          dówoP           zsujraiD
       laB           zradnelaK       einezradyW         tenretnI

   AJCAERK          YNINEIMI         ANYZCYZRP           GOLB
DENTYSTA        ETANOL           SZELKI            OPATRUNEK

    Zęby        C2h5oh            Spadać               Rana
 Stomatolog     Związek          Spodnie               Gaza
   Lekarz      Pić Wódkę          Pasek                Krew
   Plomba       Metanol          Zapinać             Ochrona
   Leczyć       Alkohol          Trzymać             Zakładać


   łóicśoK       atamzS         areimerP                leŻ
  tnewdA        ćazrukdO        ajckejorP              ćyM
    onaR         ordaiW            oniK               annaW
atęiwŚ azsM     ćataimaZ         cadąlgO               ćarB
  noipmaL         durB            oediV              akneizaŁ

  YTAROR      AKZCATĄZRPS        SOILEH         AWOCINZSYRP ANIBAK


ORNAMENT        TRZEPAK         BAWARIA            UZURPATOR

 Dekoracja       Dywan         Monachium             Zagarnąć
   Wzór         Podwórko       Oktoberfest           Należy Się
  Roślinny     Poprzeczka        Niemcy               Przejąć
 Malować         Fikołki          Land                Władza
  Ozdoba          Kurz            Piwo                Prawo


ynlamroneiN       kokS           muezuM                anisyŁ
    rtaiW        ywżyŁ            airelaG              ysołW
    ikizD      oksiwodoL           igraT              kicepuT
 ynozrubzW       tórbO           awatsyW               awołG
  ynjokopS       ceinaT         ćawyzakoP            enzcutzS

YŁALAZSZOR      TEURIP        AJCYZOPSKE             AKUREP


 TELESKOP     NAGNIOTEK        ZMYWARKA                KURA

 Astronomia      Stopa             Myć                Znosić
   Luneta        Palec           Kuchnia              Jajko
  Gwiazdy        Skóra            Pralka              Kogut
   Planety        Buty           Naczynia              Ptak
   Hubble        Odcisk          Maszyna               Drób


  ćawadoP        ałokzS           ecńołS               dórgO
     raB      awokząiwobO         apsyW               ynilśoR
    knirD        ćatyzC           naecO                adoW
  kewipaN      aketoilbiB        ejcakaW             ćaweldoP
  ćawelaN       akżąisK            ażalP              ytaiwK

 NAMRAB         ARUTKEL        AROB AROB            AKWENOK


 PINOKIO          BAL           ZŁODZIEJ              LAWA

  Dżepetto      Bawic Się           Kraść           Wezuwiusz
  Pajacyk          Bal            Rabunek            Erupcja
  Drewno      Przebierańców        Zabrać              Etna
     Nos          Taniec        Przestępca            Krater
   Kłamać        Zabawa       Vii Przykazanie        Wulkan


  kazcruK        yworfyC         bubezleB              tifuS
 dooF tsaF        ydaeR           natazS              apmaL
ajcaruatseR     roziweleT         łebaiD              rużabA
sdlanod'cM    uzarbO ćśokaJ       ałomS              akwóraŻ
  kełebuK          dcL            obeiN              ołtaiwŚ

    CFK         DH LLUF          OŁKEIP               ZSOLK
    MOHER              SZWECJA              FIRANA           ROZDZIAŁ

    Materiał          Sztokholm             Karnisz             Dzielić
    Czapka             Gustaw                Okno                Etap
     Beret           Skandynawia             Wisieć             Część
    Babcia             Państwo              Zasłona            Książka
     Wełna              Potop               Żaluzja            Powieść


    atpeceR           akranyraM              ydohcS            kinokjaL
    ćawopuK              owiP                ćahceJ              ćśeJ
  atuecamraF           zreinłoŻ              giwźD              ćźyrG
    aborohC            kjewzS              ceiwożeiW          aksąkezrP
   owtsrakeL           oksjoW                adniW              yspihC

    AKETPA              KAJOW               ADNIW         IKZSULAP ENOŁS


   GRZAŁKA        WYBORY PREZYDENCKIE      AMBULANS       PRZYZWYCZAJENIE

     Ciepło           Głosowanie           Sanitariusz         Często
   Gotować             Kaczynski           Na Sygnale          Nawyk
    Czajnik           Demokracja            Ratownik            Mieć
  Elektryczna             Urna                Erka              Nałóg
      Prąd             Fałszować             Karetka           Zawsze


    kyzcloK           ainlażdżejZ            zdąisK            acinerzS
     ohcU              akwatśuH              łóicśoK           zcapraK
  ćawułkezrP          acinwoksaiP            nałpaK        abęroP aksralkzS
   airetużiB            alezuraK              araifO           akżeinŚ
    ateiboK              iceizD               żyzrK              yróG

    YSPILK           WABAZ CALP             ZRATŁO          EZSONOKRAK


   SKUWKA               BILON              LOTNISKO        WIELKI SZLEM

    Długopis           Pieniądze            Samolot            Turniej
   Flamaster             Metal               Czekać             Lewa
     Mazak              Drobne               Okęcie             Brydż
   Zatyczka             Banknot             Terminal          Wszystko
    Wyjątek             Moneta                Port              Tenis


      ćśogaN          akytametaM           akzcązrpS           aruzyrF
   ćawyzakoP            ćadałkU              arókS             ćasezC
     zczsałP             aksoB              canipaZ           aktozczS
   ęiS ćażanbO           abzciL             ikruizD             awołG
  ęiS ćareibzoR        ćawohcaZ             akfulzS             ysołW

MZINOJCIBIHSKE       AJCROPORP          INDOPS OD KESAP      ŃEIBEZRG


     TAXI            BIEDRONKA             ASYSTENT            EGIPT

     Jeździć            Kropki               Uczelnia         Państwo
    Taxometr            Zakupy             Stanowisko         Pustynia
     Złotówa       Dyskont Spożywczy          Prezes          Piramidy
      Taryfa             Owad               Sekretarz          Afryka
 Żółty Samochód          Sklep              Pomocnik           Faraon


   eineipelkS           akytorE             kinworazC          źdówoP
    ełgąrkO               skeS             leiciwordzU    owtsńezceipzebeiN
      tifuS              oediV               einaidnI         akzceicU
      hcaD              yłsoroD               aigaM            oksjoW
     atsiluK            ćśogaN                nałpaK           norhcS

    AŁUPOK          AIFARGONROP             NAMAZS          AJCAUKAWE
  KONFERENCJA           BAZYLIKA            KORSYKA            TESTOSTERON

   Posiedzenie           Kościół             Sardynia              Jądra
   Organizować            Nawa                Francja              Lejdis
     Prasowa            Świątynia             Wyspa              Mężczyzna
      Wykład           Święty Paweł      Morze Śródziemne         Hormon
     Zebranie            Kaplica        Napoleon Bonaparte          Film


     muezuM                rtaeT             ypętsyW               akderK
     żasinreW         eineiwatsdezrP         trecnoK             zcalśerkaZ
      ikytnA               oniK                asarT               rekraM
      yzarbO             margorP              atsytrA               kasiP
     awatsyW               ćarG               łópseZ               kazaM

  IKUTZS AŁEIZD        RAUTREPER            EENRUOT             RETSAMALF


 ŁODŹ PODWODNA        WIELKI POST         POLOWANIE               ŁAJBA

        Żółta        Środa Popielcowa       Dziczyzna              Woda
       Morze            Wielkanoc            Myśliwy              Statek
       Okręt             Karnawał           Zwierzyna              Stary
   Juliusz Verne          Święto              Łowy                Pływać
      U- Boot             40 Dni            Tropienie              Łódź


      enneizD             tlafsA           akytametaM              akłbaJ
    eworozceiW           awoduB            einawadoD             awarpyzrP
      ainlezcU           anyzsaM            retupmoK              ainhcuK
      dnekeeW              acilU           akinortkelE          zluhS onurB
    tetysrewinU           dzajoP             einezciL              kamS

 ENZCOAZ AIDUTS      YWOGORD CELAW        ROTALUKLAK             NOMANYC


   EKUMENIZM         WYWROTOWIEC             FOLDER                GURU

   Chrześcijanie       Demonstracja          Katalog         Duchowy Przywódca
      Religia             Obalić               Plik                Czcić
      Kościół           Rewolucja            Reklama             Hinduizm
    Wyznanie            Zamieszki             Ulotka              Mentor
    Wspólnota             Bunt               Prospekt              Sekta


       adogZ              rózoP               wyłpW              siwresotuA
 awomriF acinmejaT       ćawadU                rówD                ćąngąiC
        adN             akwómyW               azdałW                 kaH
     tnemukoD            tęrkyW         ueilehciR łanydraK       dóhcomaS
   einawysipdoP          ydowoP              kinzsuaZ              airawA

ICŚONFUOP ALUZUALK      TSKETERP        AJCNENIME ARAZS      AZCINWOLOH AKNIL


     BAŻANT              UGODA              PAPILOTY              CNOTA

       Ptak             Konsensus              Loki              Prawiczek
      Drób             Porozumienie           Wałki                Zaleta
      Piwo               Konflikt            Fryzura             Dziewica
     Polować              Zgoda               Włosy              Moralność
      Złoty               Strona              Głowa                Tracić


      amaG               ołsoiW              aleskurB              zcabęrT
     ćawolaM              akdóŁ               aksloP               wókarK
      awraB              ćawyłP            ajcazinagrO              łanjeH
